ID;SAT_F0;SAT_F1;SAT_F2;SAT_MEDIA
0;52.37983179737942;42.850130890052384;93.41715596421255;62.88237288388145
1;52.05195821414135;66.39397905759168;95.40648973173492;71.28414233448932
2;51.781030100759565;69.06086387434553;97.99653733479687;72.94614376996732
3;52.02116350146737;63.907068062827236;96.9683176242463;70.9655163961803
4;52.0287203089031;44.928010471204175;97.5815502406102;64.8460936735725
5;52.40876708641109;69.46989528795812;89.83191793305465;70.57019343580795
6;52.406736286937;42.195680628272235;97.6757319765324;64.09271629724721
7;51.75406208261817;65.31413612565447;98.06157434172628;71.70992418333297
8;52.409589533377;66.73756544502618;92.52167648649402;70.55627715496574
9;52.38066147841165;42.57198952879576;96.14551923574966;63.69939008098569
10;52.02323824253531;65.55955497382205;96.87906850963954;71.48728724199896
11;43.2007343147053;17.342931937172768;98.06372394295826;52.869130064945445
12;52.379839072768505;42.6210732984293;94.9929237943689;63.331278721855575
13;52.05384523880716;63.84162303664922;95.64406099852346;70.51317642465995
14;52.078066757537854;68.92997382198955;92.76245509639996;71.25683189197578
