0.131;0.261;0.343
0.131;0.261;0.343
0.245;0.489;0.642
0.139;0.277;0.363
0.846;1.692;2.220
0.070;0.140;0.183
0.070;0.140;0.183
0.379;0.757;0.993
0.441;0.882;1.157
0.832;1.664;2.183
0.081;0.162;0.212
0.071;0.141;0.185
0.042;0.084;0.110
0.020;0.039;0.051
0.016;0.032;0.042
0.016;0.032;0.042
0.014;0.028;0.037
0.014;0.028;0.037
0.020;0.039;0.051
0.013;0.026;0.034
0.090;0.179;0.235
0.037;0.073;0.095
0.022;0.044;0.058
0.103;0.206;0.270
0.103;0.206;0.270
0.027;0.053;0.069
0.124;0.248;0.325
0.273;0.546;0.716
0.107;0.214;0.280
0.107;0.214;0.280
