789;444;4.61;536;5.538;940;771;5.109;3.134;1.573;5.774;780;2.744;1.692;3.747;2.841;1.565;3.861;3.209;3.613;5.235;6.08;3.44;4.781;3.052;2.597;4.765;6.22;5.937;6.381
4.574;5.525;670;3.121;5.245;5.141;5.336;3.249;2.7;3.862;3.317;5.732;6.229;5.062;7.933;6.335;6.712;7.891;8.356;8.841;3.969;4.849;7.889;7.287;7.247;6.622;7.271;5.082;4.799;3.982
4.127;5.075;48;2.671;4.117;4.691;4.889;3.094;2.545;3.707;3.912;5.282;6.074;4.913;7.777;6.182;6.262;8.558;7.906;8.31;3.814;4.698;7.752;7.15;7.11;6.467;7.134;4.927;4.644;4.492
597;893;2.783;168;6.642;876;1.359;6.213;4.238;1.699;6.878;1.1;3.193;1.818;4.195;3.293;2.014;4.31;3.658;4.062;6.339;7.184;3.886;4.907;4.867;3.046;4.891;7.324;7.041;7.485
7.385;7.91;6.348;8.758;1.26;7.106;7.67;3.383;3.998;6.217;3.126;8.246;8.584;7.423;10.294;8.696;8.191;10.252;11.481;11.184;1.558;2.547;10.262;9.66;9.62;8.977;9.644;2.715;2.602;2.312
357;717;4.4;978;4.935;343;498;4.512;2.537;976;5.177;1.053;2.027;1.095;3.03;2.124;1.444;3.87;3.218;3.622;4.632;5.477;2.723;4.18;4.14;1.88;4.164;5.623;5.34;5.778
3.934;4.882;383;2.478;4.28;4.498;4.696;3.257;2.708;3.87;4.067;5.089;6.233;5.076;7.944;6.349;6.072;8.365;7.713;8.117;3.977;4.861;7.915;7.313;7.273;6.626;7.297;5.09;4.807;4.655
4.382;4.907;2.888;5.755;1.434;4.103;4.667;504;403;3.214;1.757;5.243;5.581;4.42;7.288;5.693;5.188;7.246;8.487;8.196;1.131;1.976;7.255;6.657;6.617;5.974;6.641;2.205;1.922;2.277
2.831;3.356;2.587;4.204;1.827;2.552;3.116;804;252;1.663;2.057;3.692;4.03;2.869;5.737;4.142;3.637;5.695;6.936;6.645;1.524;2.376;5.708;5.106;5.066;4.423;5.09;2.605;2.322;2.202
1.099;1.624;3.869;1.726;4.139;820;1.384;3.71;1.735;486;4.375;1.96;2.74;1.137;4.005;2.41;1.905;3.963;5.207;4.916;3.836;4.681;2.093;3.983;3.943;2.543;3.967;4.821;4.535;4.982
1.177;1.702;3.653;1.804;3.923;898;1.462;3.494;1.519;51;4.159;2.038;2.418;1.215;3.621;2.765;1.983;4.042;5.285;4.994;3.62;4.465;1.769;3.971;3.931;2.811;3.955;4.605;4.322;4.763
7.872;8.82;4.457;6.416;3.588;6.338;6.902;3.749;4.293;5.455;3.028;9.027;7.822;6.655;9.523;7.928;7.423;9.484;10.725;10.434;3.886;4.875;9.491;8.889;8.849;8.215;8.873;5.043;4.93;4.64
8.068;9.016;4.635;6.612;3.216;6.365;6.929;3.553;4.317;5.479;2.832;9.223;7.846;6.682;9.553;7.955;7.45;9.511;10.752;10.461;3.514;4.503;9.524;8.922;8.882;8.239;8.906;4.671;4.558;4.268
3.514;4.039;3.561;4.887;3.923;3.235;3.799;2.728;1.289;2.346;4.336;4.375;4.713;3.552;6.42;4.825;4.32;6.378;7.616;7.325;3.62;4.504;6.391;5.789;5.749;5.106;5.773;4.969;4.686;4.298
1.704;1.101;3.686;709;7.183;1.983;1.608;6.754;4.779;2.635;7.419;1.203;3.098;2.34;4.101;3.195;2.016;4.075;3.06;3.777;6.88;7.725;3.794;3.326;3.406;2.951;3.31;7.865;7.582;8.026
1.515;504;4.061;1.048;6.06;1.462;993;5.631;3.656;2.095;6.296;393;2.483;1.725;3.486;2.58;1.304;3.6;3.066;3.352;5.757;6.602;3.179;2.711;2.791;2.336;2.695;6.742;6.459;6.903
2.795;1.91;5.962;2.797;6.224;1.515;1.589;5.803;3.828;2.373;6.46;1.56;369;1.447;1.044;188;2.277;1.636;4.17;2.134;5.921;6.766;1.032;1.826;1.59;321;2.821;6.906;6.623;7.067
1.453;1.81;5.067;2.08;5.337;1.174;1.489;4.908;2.933;839;5.573;1.837;2.09;258;3.42;1.825;1.32;3.378;4.622;4.331;5.034;5.879;1.303;1.582;1.662;2.483;1.566;6.016;5.733;6.18
3.093;2.208;6.257;3.095;6.526;1.813;1.887;6.097;4.126;2.842;6.762;1.858;511;1.745;740;116;1.883;1.421;3.045;2.588;6.223;7.068;1.468;2.262;2.026;430;3.29;7.208;6.925;7.369
2.069;1.082;6.112;1.969;5.803;2.136;989;5.374;3.403;1.842;6.039;723;2.109;1.022;2.968;1.928;156;2.991;2.742;2.451;5.5;6.345;2.772;1.94;2.02;1.798;1.924;6.485;6.202;6.646
3.933;2.946;7.976;3.833;7.412;2.571;2.853;6.98;5.005;3.451;7.648;2.587;1.424;2.63;1.025;1.473;2.463;594;1.753;1.431;7.109;7.954;2.11;2.904;2.668;1.251;3.899;8.094;7.811;8.255
