687;4.67;4.205;398;8.897;726;4.011;5.888;4.261;1.477;1.555;8.013;8.209;5.009;1.058;1.413;3.192;1.853;3.49;2.452;4.283;4.123;4.232;5.734;6.28;7.225;3.21;7.003;3.299;2.214;1.584;6.875;7.366;6.577;7.069;7.207;1.731
4.904;828;481;3.068;6.61;4.667;629;3.109;2.85;4.195;3.943;4.788;4.801;3.836;3.992;4.394;6.29;5.382;6.582;6.393;7.461;8.064;8.167;3.488;4.002;4.985;7.892;7.514;7.504;4.924;4.405;7.392;5.209;4.423;4.918;4.964;5.722
2.355;2.597;2.132;1.987;7.748;2.779;1.938;4.902;4.643;5.865;5.712;5.94;6.136;5.629;2.989;3.391;7.942;7.052;8.249;3.802;5.633;5.473;5.582;5.281;5.795;6.778;9.679;9.304;9.309;6.69;6.174;9.17;7.002;6.216;6.705;6.757;7.515
890;3.474;3.009;522;8.625;1.314;2.815;5.779;5.52;2.065;5.274;6.817;7.013;6.506;982;1.348;3.463;2.441;3.761;2.624;4.451;3.961;4.404;6.158;6.666;7.655;9.238;8.869;8.871;2.802;2.172;8.743;7.879;7.093;7.584;7.634;2.319
3.633;4.681;4.517;2.922;6.974;1.796;4.887;3.965;2.338;1.638;1.485;6.35;6.36;3.086;3.48;4.359;3.733;2.825;4.031;3.603;4.904;6.583;6.257;3.811;4.357;5.308;5.455;5.08;5.082;2.463;1.947;4.958;5.443;4.657;5.152;5.287;3.288
5.871;3.721;4.442;7.031;2.324;5.274;4.59;1.737;2.053;4.481;4.229;3.424;3.228;4.34;7.589;6.399;6.568;5.668;6.87;6.148;7.75;9.426;9.1;1.448;1.901;2.894;8.178;7.8;7.802;5.21;4.691;7.678;3.08;2.294;2.789;2.873;6.008
6.995;1.673;2.277;5.159;4.532;4.328;2.932;2.368;1.918;3.535;3.283;2.724;2.92;2.126;6.083;6.485;5.624;4.722;5.922;5.2;6.801;8.48;8.154;2.433;2.036;3.871;7.232;6.851;6.826;4.264;3.745;6.729;4.065;3.279;3.774;3.85;5.062
1.407;4.889;4.424;1.217;7.841;434;4.23;4.832;3.205;912;1.191;7.217;7.227;3.953;2.349;1.559;2.415;1.507;2.713;2.241;3.108;3.912;4.021;4.678;5.224;6.169;6.319;5.941;5.94;1.868;1.243;5.825;6.31;5.515;6.013;6.154;1.39
4.691;1.435;970;2.855;6.582;4.454;776;3.74;3.481;4.826;4.574;4.774;4.97;4.467;3.779;4.181;6.921;6.013;7.213;6.18;8.011;7.851;7.954;4.119;4.633;5.616;8.523;8.145;8.135;5.555;5.036;8.023;5.84;5.054;5.549;5.595;6.353
3.702;3.976;3.812;4.862;4.717;3.105;3.96;1.612;2.064;2.312;2.06;5.025;4.829;4.404;5.42;4.23;4.407;3.499;4.697;3.983;5.578;7.257;6.931;1.554;2.1;3.051;6.009;5.631;5.633;3.041;2.522;5.509;3.186;2.4;2.895;3.03;3.839
3.353;2.397;2.233;4.82;4.381;2.756;2.381;877;618;1.963;1.711;4.204;4.214;1.303;5.744;3.881;4.058;3.15;4.35;3.628;5.229;6.908;6.582;1.256;1.77;2.753;5.66;5.282;5.284;2.692;2.173;5.16;2.977;2.191;2.686;2.732;3.49
1.822;4.063;3.899;1.944;6.356;1.225;4.047;3.347;1.72;432;711;5.732;5.742;2.468;2.911;2.35;2.527;1.619;2.825;2.103;3.698;5.377;5.051;3.193;3.739;4.69;4.801;4.423;4.425;1.632;1.122;4.301;4.819;4.039;4.534;4.669;1.269
5.827;2.845;3.449;5.929;1.644;5.23;3.589;1.693;2.009;4.437;4.185;2.548;2.352;4.296;6.853;6.355;6.524;5.624;6.826;6.104;7.706;9.382;9.056;1.404;1.857;2.85;8.134;7.756;7.758;5.166;4.647;7.634;3.036;2.25;2.745;2.829;5.964
7.131;2.832;3.41;5.295;4.462;6.892;3.216;3.432;2.982;4.599;4.347;2.654;2.85;3.19;6.219;6.621;6.688;5.784;6.986;8.62;7.865;10.291;10.394;3.497;5.519;6.502;8.296;7.915;7.89;5.328;4.809;7.793;5.129;4.343;4.838;6.224;6.122
1.746;4.682;4.217;1.154;9.351;2.004;4.023;6.342;4.715;2.917;2.995;8.025;8.221;5.463;459;1.119;2.611;2.799;2.909;1.773;3.37;2.82;3.086;6.188;6.734;7.685;3.894;3.598;3.644;2.946;3.024;3.488;7.814;7.031;7.529;7.664;3.171
