F0;F1;F2
248469947.921;13.655999999999999;4429.6573390568
248323787.245;12.184999999999999;4649.150863008801
248322850.388;12.379;4784.239004256
248322284.553;12.408999999999999;4803.4567034764
248322018.886;12.408999999999999;4825.142433476401
248321979.135;12.463;5260.645398755601
248321851.447;12.527999999999999;5490.5614823344
248321719.081;12.639999999999999;5545.505831214
248321675.385;12.639999999999999;5797.620660371
248321513.329;12.328;5994.521990097201
248321289.763;12.286;6840.6071822962
248321174.00800002;12.276;27167.0752626118
