100;0.215894
1000;0.424596
10000;0.490727
10100;0.490730
10200;0.490731
10300;0.490732
10400;0.490733
10500;0.490733
10600;0.490799
10700;0.490810
10800;0.490816
10900;0.490825
1100;0.426282
11000;0.490840
11100;0.491863
11200;0.491863
11300;0.492039
11400;0.492043
11500;0.492080
11600;0.492187
11700;0.492178
11800;0.492816
11900;0.492816
1200;0.430301
12000;0.492828
12100;0.492840
12200;0.492828
12300;0.492834
12400;0.492990
12500;0.492990
12600;0.492993
12700;0.494068
12800;0.494068
12900;0.494068
1300;0.438902
13000;0.494061
13100;0.494098
13200;0.494096
13300;0.494101
13400;0.494609
13500;0.494832
13600;0.494872
13700;0.494902
13800;0.495044
13900;0.495046
1400;0.439254
14000;0.495050
14100;0.495053
14200;0.495061
14300;0.495127
14400;0.495128
14500;0.495131
14600;0.495144
14700;0.495144
14800;0.495199
14900;0.495199
1500;0.441940
15000;0.495205
15100;0.495234
15200;0.495304
15300;0.495312
15400;0.495336
15500;0.495341
15600;0.495342
15700;0.495342
15800;0.495344
15900;0.495344
1600;0.456269
16000;0.495333
16100;0.495333
16200;0.495404
16300;0.495406
16400;0.495406
16500;0.495406
16600;0.495407
16700;0.495371
16800;0.495378
16900;0.495470
1700;0.461051
17000;0.495693
17100;0.495695
17200;0.495670
17300;0.495678
17400;0.495670
17500;0.495670
17600;0.495772
17700;0.495782
17800;0.495782
17900;0.495785
1800;0.461079
18000;0.495785
18100;0.495789
18200;0.495819
18300;0.495819
18400;0.495859
18500;0.495859
18600;0.495868
18700;0.495877
18800;0.495877
18900;0.496201
1900;0.463432
19000;0.496213
19100;0.496226
19200;0.496018
19300;0.496024
19400;0.496024
19500;0.496172
19600;0.496170
19700;0.496252
19800;0.496252
19900;0.496278
200;0.256047
2000;0.465098
20000;0.496257
2100;0.466517
2200;0.468595
2300;0.468670
2400;0.469948
2500;0.470645
2600;0.471404
2700;0.471464
2800;0.471465
2900;0.471645
300;0.318929
3000;0.473017
3100;0.473160
3200;0.473207
3300;0.473450
3400;0.473565
3500;0.475222
3600;0.475256
3700;0.475651
3800;0.475651
3900;0.475651
400;0.324582
4000;0.475658
4100;0.476283
4200;0.476290
4300;0.476340
4400;0.476414
4500;0.476776
4600;0.476937
4700;0.477431
4800;0.478812
4900;0.479111
500;0.348021
5000;0.479177
5100;0.479190
5200;0.479331
5300;0.479546
5400;0.479554
5500;0.479573
5600;0.481603
5700;0.481961
5800;0.482559
5900;0.482665
600;0.374360
