100;0.820887
1000;0.910772
10000;0.936669
10100;0.936669
10200;0.936669
10300;0.936669
10400;0.936669
10500;0.936669
10600;0.936669
10700;0.936669
10800;0.936669
10900;0.936679
1100;0.911210
11000;0.936692
11100;0.936812
11200;0.936812
11300;0.936812
11400;0.936812
11500;0.936812
11600;0.936812
11700;0.936812
11800;0.936828
11900;0.936828
1200;0.911737
12000;0.936828
12100;0.936828
12200;0.936828
12300;0.936830
12400;0.937101
12500;0.937101
12600;0.937496
12700;0.937496
12800;0.937496
12900;0.937496
1300;0.912649
13000;0.937496
13100;0.937496
13200;0.937496
13300;0.937499
13400;0.937505
13500;0.937505
13600;0.937505
13700;0.937708
13800;0.937994
13900;0.938052
1400;0.912869
14000;0.938069
14100;0.938069
14200;0.938069
14300;0.938069
14400;0.938069
14500;0.938069
14600;0.938069
14700;0.938090
14800;0.938090
14900;0.938094
1500;0.914342
15000;0.938094
15100;0.938094
15200;0.938094
15300;0.938094
15400;0.938102
15500;0.938102
15600;0.938102
15700;0.938102
15800;0.938102
15900;0.938102
1600;0.914346
16000;0.938102
16100;0.938102
16200;0.938102
16300;0.938102
16400;0.938194
16500;0.938194
16600;0.938195
16700;0.938195
16800;0.938195
16900;0.938195
1700;0.914347
17000;0.938195
17100;0.938195
17200;0.938195
17300;0.938195
17400;0.938195
17500;0.938195
17600;0.938195
17700;0.938195
17800;0.938195
17900;0.938195
1800;0.914347
18000;0.938195
18100;0.938195
18200;0.938195
18300;0.938195
18400;0.938206
18500;0.938206
18600;0.938206
18700;0.938726
18800;0.938726
18900;0.938726
1900;0.918261
19000;0.938726
19100;0.938726
19200;0.938726
19300;0.938726
19400;0.938726
19500;0.938726
19600;0.938726
19700;0.938726
19800;0.938726
19900;0.938726
200;0.853937
2000;0.918308
20000;0.938726
2100;0.918308
2200;0.918341
2300;0.918341
2400;0.918346
2500;0.918365
2600;0.918365
2700;0.918820
2800;0.918820
2900;0.918820
300;0.864088
3000;0.918820
3100;0.918827
3200;0.919372
3300;0.919372
3400;0.919372
3500;0.923017
3600;0.923041
3700;0.923056
3800;0.923077
3900;0.924461
400;0.889538
4000;0.927665
4100;0.927665
4200;0.927677
4300;0.928845
4400;0.928847
4500;0.928847
4600;0.928881
4700;0.928883
4800;0.928941
4900;0.929209
500;0.890376
5000;0.929209
5100;0.929251
5200;0.929261
5300;0.929262
5400;0.929367
5500;0.929393
5600;0.929394
5700;0.929543
5800;0.929543
5900;0.929544
600;0.891136
6000;0.929654
6100;0.930278
6200;0.930294
6300;0.930294
6400;0.934776
6500;0.934776
6600;0.934776
6700;0.934776
6800;0.934778
6900;0.934799
700;0.891153
7000;0.934799
7100;0.934803
7200;0.934899
7300;0.934901
7400;0.934904
7500;0.934904
7600;0.934904
7700;0.934917
7800;0.934918
7900;0.934919
800;0.900188
8000;0.935155
8100;0.935155
8200;0.935158
8300;0.935158
8400;0.935158
8500;0.935158
8600;0.936027
8700;0.936027
8800;0.936035
8900;0.936096
900;0.900532
9000;0.936102
9100;0.936103
9200;0.936103
9300;0.936476
9400;0.936477
9500;0.936477
9600;0.936656
9700;0.936657
9800;0.936657
9900;0.936669
