ID;F0;F1;F2
5_0;242870217.185;10.98;6457.1605689318
5_1;242732696.233;12.371;48677.541262840605
5_4;242744122.587;12.527;7951.743686732801
5_5;242870088.489;10.956;6640.922839381399
5_6;242733199.312;12.521;9458.0498298238
5_7;242733114.449;12.343;47665.77590407341
5_8;242733848.243;12.480999999999998;8537.930907962
5_9;242743750.476;12.501;8356.9760461744
5_12;242733769.559;12.486999999999998;9413.5119267292
5_14;242743818.807;12.501;8180.2251823528
8_0;245425622.396;12.269999999999998;4336.1526819782
8_2;245299622.273;12.080999999999998;53606.5521250094
8_4;245309605.758;12.266999999999998;4472.5214057508
8_5;245308039.574;12.227999999999998;14150.242890239602
8_6;245308233.793;12.227999999999998;5780.1427016972
8_7;245308204.399;12.223;13767.7715603484
8_9;245309495.429;12.252;5024.8593350728
8_10;245308345.722;12.227999999999998;5621.7889203484
8_11;245308684.517;12.328;5398.8923933868
8_12;245308163.647;12.252;13943.885727092402
8_13;245309330.956;12.234999999999998;5176.0502213492
8_16;245308648.702;12.265;5471.6237574858005
8_19;245309110.718;12.233;5388.3853886732
8_23;245308067.362;12.230999999999998;14096.9011805732
8_24;245309180.87;12.293;5182.199602139601
8_25;245309145.667;12.271;5273.904035170801
8_26;245309130.213;12.176999999999998;5382.6879079988
9_0;260633911.297;14.382999999999996;5158.4851920010005
9_1;242727350.614;12.247999999999998;47866.3457500548
9_4;242739034.706;12.4;6955.222347799601
9_5;260633742.516;14.382999999999996;5781.892912001
9_6;242738047.584;12.328999999999995;14622.3223914
9_7;242727429.423;12.158999999999995;35076.700783321605
9_8;242727375.091;12.317999999999998;35572.3442878104
9_10;242738125.413;12.385999999999996;10403.1841810628
9_11;242738558.351;12.453999999999995;8657.935055914
9_12;242738162.653;12.392999999999995;10059.800644153802
9_13;242738882.451;12.448;8295.6808505116
9_21;242738620.721;12.461;8329.7894494546
9_22;260633822.854;14.319999999999997;5562.7942561
9_23;260633876.534;14.380999999999997;5252.640826497
9_26;260633886.096;14.382999999999996;5181.445672001
2_0;244932090.088;14.81;10620.2956452302
2_1;251868178.759;13.603999999999996;3920.877311803
2_4;251751268.382;13.496999999999996;6323.5973086212
2_5;245091297.135;14.733;6979.8558427992
2_6;244954284.041;14.769000000000002;8855.550171419402
2_7;244945026.671;14.676;10162.613512877
2_8;251751675.28;14.282999999999996;6098.959472664001
2_9;251866864.976;13.523999999999996;5168.3356600154
2_13;244955224.82;14.738;8243.8642120196
2_15;244955261.127;14.707;7721.907772349601
2_16;251867719.967;13.462999999999996;4408.3612758494
2_17;251867129.842;13.528999999999996;4493.785159903
2_18;251867117.696;13.405999999999995;4869.1728419788005
2_19;244955366.337;14.734000000000002;7471.6718429678
2_23;245071155.697;14.702000000000002;7374.7345343692
2_24;245072478.79;14.733;7085.902243979401
2_25;245071201.238;14.7;7276.690777572599
2_26;244944545.539;14.686;10213.351891191
2_27;244943837.831;14.813;10382.6805902356
2_28;244943804.837;13.38;10494.650900348
2_30;251866981.94;13.523999999999996;5047.348351027
2_36;251867008.356;13.514999999999995;4959.220941027
2_43;244944641.605;14.783;10178.8823398948
6_0;249038040.017;13.042999999999996;8933.718992821
6_1;249184652.348;13.112999999999996;3857.1408293928
6_4;249049828.357;13.152999999999995;4141.7532642894
6_5;249165489.179;13.120999999999997;3980.491309786201
6_6;249038589.972;13.069999999999997;4695.032867665001
6_7;249038452.522;13.256999999999996;7666.943248062001
6_9;249038235.773;13.222999999999995;8425.8647191298
6_10;249165811.9;13.112999999999996;3870.3625723152
6_11;249049346.761;13.129999999999995;4415.472868560601
6_12;249038099.652;13.041999999999996;8528.2132742822
6_19;249165522.511;13.203999999999995;3965.0795899548007
10_0;248610837.268;14.505999999999997;3324.1377576904006
10_1;248332078.762;14.732;6452.1763068618
10_4;248449282.887;14.509999999999998;3434.7260343184
10_5;248333395.882;14.494999999999996;4870.9989902158
10_6;248610806.812;14.505999999999997;3328.1185176904005
10_7;248448653.994;14.505999999999997;3719.8798868474
10_10;248332496.461;14.752999999999997;5592.6753676342005
10_11;248332204.745;14.618999999999996;5697.657354216801
10_12;248332196.622;14.726999999999997;6080.608876071401
10_13;248332088.969;14.79;6153.8308167458
10_17;248332171.149;14.730999999999998;6145.3788772516
10_19;248332433.374;14.761;5654.067471793
10_21;248332370.272;14.755999999999997;5673.150351793
10_23;248332377.619;14.703;5661.9606131418
7_0;241285436.54;12.803999999999998;21144.875462685
7_2;241549326.298;12.967999999999998;4580.6189430568
7_4;241285647.512;12.844999999999995;7114.567882404001
7_5;241414633.365;12.961999999999998;4624.9992584520005
7_6;241414315.413;12.950999999999995;4859.3545598008
7_7;241286806.042;13.584999999999996;4876.4692309774
7_9;241285690.439;12.831999999999995;6003.6382708866
7_10;241285900.351;12.899999999999997;5271.378427436801
7_11;241285900.294;12.889999999999995;5675.750248448401
7_12;241286543.667;12.860999999999995;4893.8047818204
7_16;241414467.2;12.962999999999996;4711.9949448552
7_17;241414462.214;12.962999999999996;4775.6470248552005
4_0;246470302.508;13.127999999999998;4471.476284648401
4_1;246350495.984;13.188;14959.851229148
4_4;246467114.209;13.420999999999998;4800.6281786422005
4_5;246351332.619;13.386;5064.767160437
4_6;246350549.31;13.223;14602.510490721605
4_7;246350553.133;13.224999999999998;6279.305704318401
4_9;246350573.247;13.214;5814.4808037384
4_11;246351271.541;13.39;5507.2648697064005
4_12;246351280.234;13.388999999999998;5080.2484792568
4_15;246351068.709;13.23;5696.1067849294
4_17;246351035.518;13.386;5701.2879357724005
4_21;246351330.466;13.384;5073.8614692568
3_0;239127728.365;14.021999999999998;4538.3490500772
3_2;239011659.857;12.417999999999996;41273.009214228805
3_4;239024164.734;14.137999999999998;6932.4263747274
3_5;239011811.507;13.143999999999998;19410.8252830486
3_7;239012072.319;12.769999999999996;13838.8655616998
3_9;239012122.83;12.763999999999996;9762.380043895202
3_10;239023158.411;14.215999999999998;7295.743538454601
3_11;239012689.469;14.182999999999996;8205.3687677132
3_16;239012230.916;14.211;8823.0018040076
3_17;239012420.507;14.200999999999995;8260.358464120001
3_18;239012251.332;14.124999999999996;8538.7522444572
11_0;253675563.246;14.270999999999995;4151.496594379201
11_1;243492293.258;11.407999999999998;14180.745695356802
11_4;243772765.537;11.593999999999998;6035.4804228026005
11_5;253407106.289;14.043999999999995;5991.592400835
11_6;243492569.945;11.628999999999998;8538.717057084601
11_7;243492429.616;11.383;11233.1123843452
11_8;243492330.538;11.424999999999995;11627.523157099
11_9;253541096.199;14.138999999999998;4623.843024716401
11_10;253407296.554;14.034999999999998;5790.680938916999
11_11;243514337.362;11.493;7658.2611774816
11_12;243618876.763;11.436;6845.187504432401
11_15;253541167.345;14.138999999999998;4309.231344716401
11_17;243514112.848;11.482;8092.5037667546
11_18;243514253.429;11.508;7782.387598999
11_19;243630057.979;11.631999999999998;6452.157123031
11_20;243630245.697;11.424;6144.205374938201
11_21;243629419.255;11.448999999999998;6508.4199856724
11_22;243618928.321;11.436;6775.764163758
11_23;243503474.717;11.476;8538.448192371001
11_24;243503600.479;11.642999999999995;8282.867506923201
11_27;253541146.111;14.138999999999998;4523.5660247164005
11_28;253407270.568;14.021999999999997;5981.592356388001
11_33;243630255.141;11.421999999999995;6112.883754938201
1_0;238908024.335;12.607999999999995;37562.3866313752
1_2;239056456.839;12.939999999999994;6212.1871892742
1_4;238921639.841;12.997999999999998;6427.8349936052
1_5;238908195.493;12.552999999999995;29926.3644701842
1_6;238908379.174;12.672999999999996;18573.5923634474
1_7;238908356.556;13.998999999999995;24449.0552322038
1_8;238908670.915;14.206999999999995;12318.0376538192
1_9;238908461.805;14.123999999999995;17890.0856113608
1_11;238908285.737;12.595999999999997;24995.248147104
1_12;238909098.69;14.166999999999994;8537.5448860636
1_14;238910404.885;12.850999999999996;7599.9321236052
1_15;238921207.837;12.865999999999996;7156.978390458001
1_18;238908412.289;14.123999999999995;18051.4101962502
1_21;238921537.028;12.840999999999994;6706.3652364044
1_22;238908323.592;12.651999999999996;24820.8921274412
1_27;238921592.961;12.927999999999995;6516.8170792778
