F0;F1;F2
0.4010918393305132;0.05392491455307192;0.08717596687213085
0.4814265559934456;0.6878270746579588;0.013694026419129014
0.39623808209651634;0.05642775868844598;0.029550633855255533
0.4074325006479633;0.05437997712313938;0.07423376046248212
0.48819211801333584;0.3278725817340774;0.014262878439322745
0.48066701650813703;0.6541524444729185;0.014119380173649939
0.39617550233076687;0.06348122852450193;0.025918996135658446
0.47582914483814015;0.2755403861762439;0.024004449412715193
0.48036462103088595;0.2805460744469932;0.01762533560511618
0.4882098402772246;0.277133105171483;0.022392744126066295
0.4814018434282218;0.30034129624495626;0.014723453804669377
0.48140125521792887;0.6602957891688376;0.013795111632726125
0.3969801199998352;0.05802047768368432;0.029275388535642773
0.40782636068655775;0.06279863466939974;0.026710266460363487
0.48673453027595764;0.29874857724971793;0.0155407247579769
0.47658216824090405;0.2757679174612786;0.023929489837853608
0.48747579834409;0.29897610853475304;0.01553668085619884
