ID;SAT_F0;SAT_F1;SAT_F2;SAT_MEDIA
0;25.358272843520012;33.09882198952876;88.48111046607823;48.979401766375666
1;25.327546563925416;11.82918848167539;94.90050019671908;44.01907841410662
2;25.05601379778647;12.761780104712017;96.91264383926523;44.91014591392124
3;54.82027990001368;73.64201570680629;74.42570877357622;67.62933479346539
4;25.328048121552527;11.780104712041872;92.25447762544681;43.120876819680404
5;25.009282633291562;12.238219895287926;99.33238772829766;45.52663008562572
17;25.029108944072032;12.090968586387396;97.80106780397554;44.97371511147833
