F0;F1;F2
248469930.35799998;13.655999999999999;4412.1827990568
248322715.597;13.847;4477.4383666056
248322356.229;13.858;4608.8833766200005
248322170.248;12.407;4783.360706342601
248322018.886;12.408999999999999;4825.142433476401
248321979.135;12.463;5260.645398755601
248321719.081;12.639999999999999;5545.505831214
248321626.77899998;12.639999999999999;5761.575191214
248321513.329;12.328;5994.521990097201
248321337.331;12.341999999999999;6323.8214979616005
248321289.763;12.286;6840.6071822962
248321003.73000002;12.285;82404.97632244321
