F0;F1;F2
243930771.51;10.674999999999999;14115.8540874838
243797386.735;11.599;26371.615885109
243912300.398;10.661999999999999;19257.601963374
243902001.0;10.636;43164.2866746212
243920150.074;10.612;122738.888769935
243910632.69599998;12.334;7704.366631793201
243797769.35799998;11.424999999999999;26990.161774596
243901159.37199998;10.821;14041.4742272554
243796496.803;11.600999999999999;34802.8938597246
243785737.998;10.609;171916.62282572
244092496.963;10.67;14654.713483606001
244141771.936;10.753;7408.255473040401
243909619.459;10.772;8911.933970564
244055415.786;10.629999999999999;35349.9041469816
243911572.766;10.75;14911.759200582
243921249.537;10.639999999999999;27356.7242316988
244071220.803;10.754999999999999;8800.077578372202
243912265.199;10.666;14945.2568263562
243902420.849;10.625;35606.3255535044
244045565.226;12.299999999999999;7671.040821793201
243910641.174;12.299;7675.7819917932
