F0;F1;F2
243921182.627;10.642;42685.4606188326
243912300.398;10.661999999999999;19257.601963374
244142683.894;12.291;8171.519942201001
244295965.459;11.689;8028.96302473
243911787.502;12.27;15459.9819195034
244054833.731;10.652;19870.9274790538
243920662.425;10.612;123047.6743937638
244449826.02899998;12.411;7621.824336700601
243796200.02899998;10.754;51785.803400961
244046366.44599998;10.699;13339.182621308999
244026929.64499998;12.286999999999999;14232.1002098406
244074940.21600002;10.613999999999999;101125.0586993838
244036553.502;10.652;22920.9464665248
244259046.416;10.756;8925.8668759138
243795380.598;10.905;60859.11155112961
244025963.342;10.934999999999999;15486.038925516801
244173041.921;10.639999999999999;64190.8126432688
243796443.95700002;10.644;37278.745060402594
243796478.224;10.626999999999999;129428.28446320539
244162262.475;10.821;9251.8034027032
243795992.245;10.849;37538.1360301252
243807467.109;10.738999999999999;33259.3414461948
244143380.484;10.818;9482.0026744454
