F0;F1;F2
244574121.757;10.801;8597.4338841226
243920150.074;10.612;122738.888769935
243911787.502;12.27;15459.9819195034
244028452.79000002;10.827;10032.5535090502
244258780.815;10.791;8679.906772759401
244239110.95499998;10.648;30321.781158386602
244296145.02899998;12.408999999999999;7621.824335351801
244154481.563;10.637;64283.23588495121
243785264.354;10.612;128977.7339934756
244055655.95;10.61;180849.0377413962
243785866.573;10.644;47286.947566187606
244046366.44599998;10.699;13339.182621308999
243921049.93199998;10.642;42556.44731883261
244026744.224;10.863;17101.7107577756
244025963.342;10.934999999999999;15486.038925516801
243796443.95700002;10.644;37278.745060402594
244036553.502;10.652;22920.9464665248
244027083.908;12.333;10997.2827121484
243795992.245;10.849;37538.1360301252
244142683.894;12.291;8171.519942201001
243912300.398;10.661999999999999;19257.601963374
