ID;F0;F1;F2
0;262381471.427;14.799999999999997;4601.7521672444
1;245516985.56599998;10.255999999999998;22934.769269480203
4;245395537.29799998;10.410999999999998;5486.474611082601
5;262275961.419;13.410999999999994;5351.6873211222
6;245271508.44300002;10.258999999999999;11131.0773710754
7;262985601.738;13.690999999999995;4953.2742121266
8;245281837.442;10.267999999999999;8466.292603379601
9;245271152.71600002;10.266999999999998;10710.474827988
10;245397408.093;10.295999999999998;7215.3800564598005
11;245281700.75;10.271999999999998;8377.316653604401
12;245532006.995;10.319999999999999;5837.2415686026
16;262670980.706;13.534999999999997;5293.961711164
17;245397107.187;10.300999999999998;6705.785146459801
18;245396633.592;10.312999999999999;6306.7703195018
19;245511733.911;10.408999999999999;5633.367560071
22;262400102.088;13.627999999999997;4986.291938034799
23;262986023.337;13.564999999999994;5062.9697817332
25;245425326.412;10.265999999999998;10863.379323098601
26;262696316.12199998;13.623999999999995;5055.608274157
33;262509190.75800002;13.536999999999995;5191.557509983801
35;262399689.37;13.545999999999996;5179.9571019054
36;262399726.533;13.549999999999997;5113.754201512
40;262399653.39499998;13.547999999999995;5130.9233430856
41;262391805.147;13.624999999999996;5031.4134301632
