ID;SAT_F0;SAT_F1;SAT_F2;SAT_MEDIA
0;43.97699011428834;19.09358638743457;99.29693033670968;54.12250227947752
1;70.27704382817349;65.93586387434557;96.99791192588478;77.73693987613461
4;69.55267572130325;62.892670157068075;98.86506216157186;77.10346934664773
5;44.670326576670845;22.80759162303667;98.87512267253358;55.45101362408036
6;70.27632923620347;62.320026178010494;98.29124182358616;76.96253241260005
7;70.27669166008516;66.34489528795811;97.67360191844023;78.09839628882783
8;70.27694754613407;65.65772251308906;97.58319060061783;77.83928688661365
9;44.3242744898391;21.253272251308886;99.1886537221098;54.922066821085934
10;44.66983518444365;22.954842931937147;98.9211778801812;55.51528533218734
11;70.22011112188585;64.54515706806279;98.49306992225499;77.75277937073454
12;69.95012006157243;65.47774869109946;98.67945190607819;78.0357735529167
15;44.32409074300495;21.253272251308886;99.26077258537646;54.9460451932301
17;70.22069096807145;64.72513089005234;98.39352790296209;77.7797832536953
18;70.22032789335621;64.29973821989527;98.46461625384322;77.66156078903157
19;69.92124263990603;62.270942408376975;98.76954679491361;76.98724394773221
20;69.92075782574626;65.6740837696335;98.8401389929319;78.14499352943722
21;69.9228922549637;65.26505235602096;98.7566495823949;77.98153139779318
22;69.94998690413176;65.47774869109946;98.69536591287415;78.04103383603513
23;70.24816577891754;64.82329842931934;98.29130345581011;77.787589221349
24;70.24784097682951;62.09096858638748;98.3498905639156;76.89623337571085
27;44.32414558347772;21.253272251308886;99.21164035519283;54.92968606332648
28;44.669902297777256;23.1675392670157;98.87741499632186;55.57161885370493
33;69.92073343498497;65.70680628272257;98.84731889048075;78.15828620272943
