ID;SAT_F0;SAT_F1;SAT_F2;SAT_MEDIA
0;19.062260519168973;30.742801047120437;99.32332609308325;49.70946255312422
2;19.046026613181542;55.595549738219944;85.89815642963762;53.51324426034637
4;18.984143333912918;55.57918848167542;98.38495917516103;57.64943033024979
5;19.06273805535702;54.48298429319376;99.21990503953138;57.58854246269406
6;19.062389273152615;42.63743455497385;99.22906775625152;53.64296386145933
7;35.586192268346764;39.47971204188483;99.2778427216164;58.11458234394933
9;35.63549245356492;42.048429319371735;99.25284268616433;58.97892148636699
10;19.38888125044772;55.38285340314141;99.11354974357302;57.96176146572071
11;18.635938098651785;55.46465968586391;98.61954008489926;57.57337928980498
12;19.062746686649223;54.51570680628275;99.15533514462211;57.57792954585136
13;19.042008281749677;55.121073298429366;99.1205510656943;57.76121088195779
14;35.63576865750016;42.113874345549775;99.23991940185941;58.99652080163645
