F0;F1;F2
255502884.051;13.398999999999997;6178.5746370754005
248217283.802;13.859;11493.231700872198
253816574.278;11.485999999999999;32030.919970921204
248332514.17299998;12.429;78383.50940055301
248352063.319;13.866;11220.632971153202
248643121.849;12.389999999999999;14898.5253870268
253519378.477;11.489999999999998;31814.734161595607
255214729.606;13.392999999999997;6647.910307816801
248355383.243;12.269;18951.201828586003
253763275.84;11.809;10245.0245230006
254156687.824;11.658;9886.4659020524
248343583.71899998;13.141;60212.75680352081
248343797.661;13.147;50157.31767835041
248344098.203;12.293999999999999;40103.3489293764
248364856.593;12.571;12376.721886738598
248343248.334;13.161;74144.46927746199
248227055.478;13.261999999999999;64762.4241942024
253530994.074;11.696;19808.517519344
248343620.717;12.856;74339.54407032821
248354455.152;13.264999999999999;28155.652274195203
248344060.161;12.298;35921.6063689866
248362842.641;13.057;10949.965843910602
255225430.729;13.266999999999998;6533.3322650522005
248227243.528;13.257;76717.2278743148
248625189.749;12.372;16885.4042387128
253878948.155;11.520999999999999;18467.7422202958
248364854.422;12.546999999999999;12585.9975802756
248479135.522;12.465;11498.1752934502
248497691.136;13.06;10912.271165428001
253647025.53;11.504;29882.321145353802
253770415.639;11.800999999999998;8158.738391426999
253879244.672;11.604;11013.770814683001
253995759.968;11.700999999999999;10511.06948913
253781507.06599998;11.777;13433.122705807
253905050.241;11.741999999999999;8236.846861771399
253635176.14200002;11.549;19623.257191251203
248633209.227;13.106;10854.618508343201
253655190.586;11.709999999999999;14256.5113686732
253897535.999;11.742999999999999;9287.3103858668
255368027.95499998;13.393999999999997;6414.717117075401
248613846.264;12.435;11638.589943397601
248343887.564;12.386999999999999;30838.584947444004
248481723.724;12.395;15348.5674967458
248642819.312;12.418;13750.853594666401
253635215.924;11.536;16300.372952038
248364463.15;12.44;14473.2731140374
253530549.39;11.722999999999999;18614.9982763128
253790815.011;11.703;14632.839062315401
253647477.82700002;11.784999999999998;15144.911652105002
253646820.042;11.716999999999999;15772.3092663128
253808873.092;11.720999999999998;14164.490201258403
253647056.873;11.697;16078.986559119201
253519711.24699998;11.489999999999998;31543.976170011207
253530661.516;11.707999999999998;19339.583834177203
253519729.889;11.486999999999998;31209.4036857962
