ID;SAT_F0;SAT_F1;SAT_F2;SAT_MEDIA
0;49.27854971413611;17.359293193717207;99.14137721178946;55.25974003988093
1;49.907934556045106;46.08965968586383;99.07060223518587;65.0227321590316
2;49.90922530614408;44.99345549738215;99.01887366001012;64.64051815451212
3;49.91065151484513;41.279450261780084;98.97873873963042;63.38961350541854
4;49.9124757237447;43.504581151832426;98.93681613298489;64.11795766952066
5;49.91347210080578;44.420811518324555;98.91492984795946;64.41640448902993
7;49.91347937619487;44.35536649214655;98.80249814306384;64.35711467046842
8;49.91420723793735;44.388089005235564;98.70751017210979;64.33660213842757
9;49.91438666912534;44.388089005235564;98.63834667852997;64.31360745096363
10;49.915007489413846;44.289921465968554;98.54284838465063;64.24925911334434
11;49.9158409179043;44.22447643979055;98.30961782000742;64.14997839256742
12;49.916098095289485;44.306282722513046;98.20003105134133;64.14080395638128
