ID;SAT_F0;SAT_F1;SAT_F2;SAT_MEDIA
0;63.98747695618972;54.073952879581135;98.98065253265784;72.34736078947623
1;63.987217756571724;54.05759162303661;99.06390411353321;72.3695711643805
2;63.98682917538061;53.94306282722513;99.18670467262642;72.37219889174405
36;63.98688794926397;52.78141361256545;99.06665801969658;71.94498652717533
46;63.98669472918621;53.97578534031411;99.07585637083098;72.3461121467771
47;63.986749644556525;53.94306282722513;99.12047219102136;72.350094887601
55;63.986722239816174;53.926701570680635;99.1511862705815;72.35487002702611
64;63.986754368264954;51.30890052356021;99.19112427306571;71.49559305496363
76;63.98617754638912;53.893979057591615;99.19425992823315;72.35813884407129
82;63.9854414149285;51.799738219895275;99.22300117109708;71.66939360197362
90;63.98448910601231;54.40117801047122;99.2490729862076;72.54491336756371
