ID;F0;F1;F2
0;266521592.248;12.385999999999997;5800.3150402579995
1;253173851.666;10.32;82728.66476869641
2;244057688.16;12.884999999999998;147870.68486205762
3;244058098.264;13.614999999999998;82052.5779112146
5;248414094.899;10.466999999999997;264215.0619522198
7;266521439.623;12.215999999999998;5916.6239969984
8;247514011.161;12.143999999999998;58695.917573209605
9;248653950.522;11.333999999999996;10052.502145124201
10;248863046.644;10.442999999999998;94241.1145566524
11;253155180.542;10.325999999999999;87126.333606898
12;244435445.10799998;12.687999999999999;16060.1646759808
13;247407079.749;12.401999999999997;46757.3667891992
14;248538587.13099998;10.821999999999997;22284.11860092
15;248654097.847;11.226999999999997;12394.0677241306
16;244174512.311;13.223999999999998;30682.168415145003
17;244057898.356;12.889999999999999;85796.8309529006
18;244071292.944;13.438999999999998;69050.3538710424
19;248425109.58200002;10.511999999999997;141618.3451650932
20;244174867.10799998;12.818999999999999;118168.19645868562
22;244293842.235;12.652999999999999;75928.25843592461
24;248423412.334;10.609999999999998;173362.10123750262
26;248532505.31;10.421999999999997;247317.37181732678
27;248693932.074;10.403999999999996;216262.3747899718
28;248424225.954;10.466999999999997;157083.9444049102
29;248539345.176;10.413999999999996;229993.7054373268
30;248415670.677;10.422999999999996;234494.2877158656
32;247408877.362;12.169999999999998;60374.167193884
33;248414895.942;10.458999999999996;203258.81328890042
34;248424627.09;10.463999999999997;192487.96419727063
36;247936922.199;12.318999999999999;15313.198285490002
37;248538811.45999998;10.678999999999997;24757.8176939584
38;247630010.28399998;12.205999999999996;19802.080589192003
39;248844079.252;10.447999999999997;103371.6935135088
40;244058399.701;13.497999999999998;30327.868325145
41;248663571.68400002;10.454999999999997;111459.75390823682
42;248654799.148;11.301999999999996;11669.4024589458
45;244428910.73000002;12.654999999999998;58306.85012547139
46;253163501.97100002;10.386;37376.5483306706
47;248653682.601;10.550999999999997;39659.337033449
48;248662309.039;10.515999999999996;52680.9997119914
50;248424094.757;10.610999999999997;147927.9723450298
51;248694537.786;10.403999999999996;208079.83202997182
52;248672988.88;10.818999999999997;11939.790865472201
53;248526989.398;10.495999999999997;80348.2968824374
54;248425508.323;10.452999999999998;155462.8996228344
55;247640356.458;12.305999999999997;15471.2990459958
56;253155220.44;10.327;73275.4225275724
58;244281128.366;12.693999999999999;30880.497726992402
59;248654077.183;10.524999999999997;40396.5927537862
60;248816093.638;10.618999999999996;28134.343051583604
61;248680878.99699998;10.733999999999996;11341.023474457
62;248550806.17299998;10.437999999999997;173621.27658154542
63;247408159.161;12.268999999999998;33633.072486385594
64;248425454.928;10.459999999999997;190917.888124573
65;248423114.797;10.621999999999996;180137.4698865508
67;247407777.777;12.376999999999999;46959.6122248084
68;244058992.282;12.821999999999997;116693.9149571682
70;244175106.178;12.765999999999998;10421.6782572172
71;248551955.297;10.578999999999997;70472.57254356501
72;244059195.01999998;13.452999999999998;54242.079406318
73;248423382.459;10.498999999999997;186028.2940196908
74;244312014.551;12.749999999999998;21142.361675977198
77;248434849.82999998;10.691999999999997;115525.9592923956
78;248703908.718;10.451999999999996;90119.1464564946
79;248422750.15;10.682999999999996;146674.78529750623
81;248424988.55400002;10.511999999999997;141666.71333509323
83;247407889.181;12.277999999999999;44134.3017808218
85;248825618.874;10.444999999999997;111979.18077103602
88;248654609.023;10.627999999999997;29655.056713276797
89;244058409.488;13.477999999999998;73114.63547755801
91;248539295.648;10.413999999999996;229999.3214373268
95;248424759.391;10.451999999999996;210402.52856030542
97;248539360.262;10.413999999999996;214652.7050773268
