F0;F1;F2
240279671.166;11.462999999999996;5951.172501798999
240279703.099;11.462999999999996;5900.5827105554
240279849.14200002;11.452999999999996;5902.53065398
240279932.922;11.625999999999996;5971.6638103868
240280051.3;11.458999999999996;5898.7636551746
240280075.43;11.462999999999996;5844.1222718026
240280388.24699998;11.513999999999996;5452.5884192736
240280346.73000002;11.520999999999995;5712.907142263
240280397.289;11.465999999999996;5721.173471072
240280592.806;11.505999999999995;5427.5940544404
240281126.516;11.481999999999996;5334.562638378
