F0;F1;F2
258178908.866;14.671;10891.446090425201
241618010.926;13.381999999999998;42519.1812068588
241873167.71899998;13.684999999999999;20667.6019085412
249469311.051;12.120999999999999;18671.8131741388
249862095.714;13.490999999999998;13950.4420279496
258159928.49400002;14.718;10892.516777113
242221792.356;13.715999999999998;19491.653080006
249592245.40399998;13.485999999999999;14220.9229675
241899118.1;13.681999999999999;19714.4272346108
249843289.15399998;13.489999999999998;14185.0735379496
249592294.08499998;13.485999999999999;14192.338487500001
249862059.15899998;13.490999999999998;13979.440067949601
